TIME	TEAM	PLAY	SCORE
7:07		Kevin Durant misses 26-foot three point jumper	75 - 83	
7:05		Stephen Curry offensive rebound	75 - 83	
7:03		Klay Thompson makes 27-foot three pointer (Stephen Curry assists)	75 - 86	
6:48		LeBron James makes 26-foot three pointer	78 - 86	
6:31		Stephen Curry misses 29-foot three point jumper	78 - 86	
6:31		LeBron James defensive rebound	78 - 86	
6:15		Iman Shumpert misses 24-foot three point jumper	78 - 86	
6:13		Kevin Durant defensive rebound	78 - 86	
6:13		Kevin Love personal foul (Kevin Durant draws the foul)	78 - 86	
6:13		Kyle Korver enters the game for Channing Frye	78 - 86	
6:13		Richard Jefferson enters the game for Kevin Love	78 - 86	
6:07		Andre Iguodala misses 23-foot three point pullup jump shot	78 - 86	
6:05		LeBron James defensive rebound	78 - 86	
5:56		LeBron James makes two point shot	80 - 86	
5:47		Klay Thompson misses three point jumper	80 - 86	
5:46		LeBron James defensive rebound	80 - 86	
5:41		Kyrie Irving makes two point shot (LeBron James assists)	82 - 86	
5:41		Warriors Full timeout	82 - 86	
5:24		LeBron James shooting foul (Shaun Livingston draws the foul)	82 - 86	
5:24		Shaun Livingston makes free throw 1 of 2	82 - 87	
5:24		Shaun Livingston makes free throw 2 of 2	82 - 88	
5:07		LeBron James bad pass (Stephen Curry steals)	82 - 88	
5:05		Kevin Durant makes two point shot (Andre Iguodala assists)	82 - 90	
5:05		Iman Shumpert shooting foul (Kevin Durant draws the foul)	82 - 91	
5:05		Kevin Durant makes free throw 1 of 1	82 - 91	
4:52		Kyrie Irving misses layup	82 - 91	
4:52		Stephen Curry defensive rebound	82 - 91	
4:48		Shaun Livingston makes dunk (Stephen Curry assists)	82 - 93	
4:48		Cavaliers Full timeout	82 - 93	
4:28		LeBron James makes 19-foot two point shot	84 - 93	
4:05		Klay Thompson makes 27-foot three pointer (Stephen Curry assists)	84 - 96	
3:49		LeBron James misses 25-foot three point jumper	84 - 96	
3:48		Stephen Curry defensive rebound	84 - 96	
3:43		Stephen Curry bad pass (Richard Jefferson steals)	84 - 96	
3:27		LeBron James misses 23-foot three point jumper	84 - 96	
3:27		Klay Thompson defensive rebound	84 - 96	
3:12		Klay Thompson misses 30-foot three point pullup jump shot	84 - 96	
3:12		Cavaliers defensive team rebound	84 - 96	
3:12		Patrick McCaw enters the game for Klay Thompson	84 - 96	
2:55		Richard Jefferson misses 23-foot three point jumper	84 - 96	
2:55		Andre Iguodala defensive rebound	84 - 96	
2:36		Richard Jefferson personal foul (Stephen Curry draws the foul)	84 - 96	
2:36		Stephen Curry makes free throw 1 of 2	84 - 97	
2:36		Draymond Green enters the game for Kevin Durant	84 - 97	
2:36		Kevin Love enters the game for Iman Shumpert	84 - 97	
2:36		Stephen Curry makes free throw 2 of 2	84 - 98	
2:20		Kyrie Irving misses 5-foot jumper	84 - 98	
2:19		Stephen Curry defensive rebound	84 - 98	
2:03		Shaun Livingston misses 13-foot	84 - 98	
2:03		Richard Jefferson defensive rebound	84 - 98	
1:52		Kyrie Irving misses 23-foot three point jumper	84 - 98	
1:52		Kevin Love offensive rebound	84 - 98	
1:50		Kevin Love misses two point shot	84 - 98	
1:50		Warriors defensive team rebound	84 - 98	
1:50		Deron Williams enters the game for Kyrie Irving	84 - 98	
1:32		Andre Iguodala misses 26-foot three point pullup jump shot	84 - 98	
1:32		LeBron James defensive rebound	84 - 98	
1:17		Deron Williams misses 7-foot jumper	84 - 98	
1:17		Kevin Love offensive rebound	84 - 98	
1:15		Kevin Love misses layup	84 - 98	
1:14		Andre Iguodala defensive rebound	84 - 98	
1:06		Richard Jefferson personal foul (Draymond Green draws the foul)	84 - 99	
1:06		Draymond Green misses free throw 1 of 2	84 - 98	
1:06		Warriors offensive team rebound	84 - 98	
1:06		Tristan Thompson enters the game for LeBron James	84 - 98	
1:06		Zaza Pachulia enters the game for Patrick McCaw	84 - 98	
1:06		Draymond Green makes free throw 2 of 2	84 - 99	
0:54		Kevin Love makes two point shot (Deron Williams assists)	86 - 99	
0:40		Stephen Curry makes 29-foot three pointer	86 - 102	
0:28		Draymond Green personal foul (Kevin Love draws the foul)	86 - 102	
0:28		Kevin Durant enters the game for Draymond Green	86 - 102	
0:18		Shaun Livingston personal foul (Richard Jefferson draws the foul)	86 - 102	
0:18		Richard Jefferson makes free throw 1 of 2	87 - 102	
0:18		Klay Thompson enters the game for Shaun Livingston	87 - 102	
0:18		Iman Shumpert enters the game for Kevin Love	87 - 102	
0:18		Ian Clark enters the game for Zaza Pachulia	87 - 102	
0:18		Dahntay Jones enters the game for Kyle Korver	87 - 102	
0:18		Richard Jefferson makes free throw 2 of 2	88 - 102	
0:02		Stephen Curry misses 14-foot	88 - 102	
0:01		Dahntay Jones defensive rebound	88 - 102	
0:00		End of the 3rd Quarter
11:48		Ian Clark makes 2-foot layup (David West assists)	88 - 104	
11:37		Kyle Korver makes 22-foot two point shot (Kyrie Irving assists)	90 - 104	
11:25		Andre Iguodala bad pass (Kevin Love steals)	90 - 104	
11:18		Kyle Korver misses 27-foot three point jumper	90 - 104	
11:18		David West defensive rebound	90 - 104	
11:10		Ian Clark misses 26-foot three point jumper	90 - 104	
11:08		Kevin Love defensive rebound	90 - 104	
11:02		Kevin Durant personal foul (Tristan Thompson draws the foul)	90 - 104	
10:53		Kyrie Irving misses 14-foot two point shot	90 - 104	
10:52		David West defensive rebound	90 - 104	
10:48		Tristan Thompson personal foul (David West draws the foul)	90 - 104	
10:48		Double technical foul: David West and Tristan Thompson	90 - 104	
10:48		LeBron James enters the game for Kevin Love	90 - 104	
10:34		Ian Clark misses 10-foot jumper	90 - 104	
10:34		Kevin Durant offensive rebound	90 - 104	
10:33		Kevin Durant lost ball turnover (Deron Williams steals)	90 - 104	
10:25		LeBron James makes 7-foot jumper (Kyrie Irving assists)	92 - 104	
10:07		Klay Thompson offensive foul (Kyle Korver draws the foul)	92 - 104	
10:07		Klay Thompson turnover	92 - 104	
10:00		Deron Williams misses 5-foot jumper	92 - 104	
9:59		Deron Williams offensive rebound	92 - 104	
9:59		Deron Williams misses 2-foot	92 - 104	
9:57		Andre Iguodala defensive rebound	92 - 104	
9:52		Ian Clark makes 1-foot layup (Kevin Durant assists)	92 - 106	
9:52		Tristan Thompson defensive goaltending violation	92 - 106	
9:37		Kyrie Irving makes driving layup	94 - 106	
9:22		LeBron James personal foul (Kevin Durant draws the foul)	94 - 106	
9:22		Warriors Full timeout	94 - 106	
9:07		Kevin Durant makes 22-foot two point shot (David West assists)	94 - 108	
8:45		Kyrie Irving makes 24-foot three pointer	97 - 108	
8:19		Klay Thompson makes 26-foot three point jumper (Kevin Durant assists)	97 - 111	
8:07		Kyrie Irving misses 9-foot two point shot	97 - 111	
8:07		Kevin Durant defensive rebound	97 - 111	
7:50		Andre Iguodala misses three point jumper	97 - 111	
7:50		Warriors offensive team rebound	97 - 111	
7:50		Kevin Love enters the game for Deron Williams	97 - 111	
7:50		Stephen Curry enters the game for Ian Clark	97 - 111	
7:47		Klay Thompson makes 2-foot layup (Stephen Curry assists)	97 - 113	
7:26		Kevin Durant blocks Kevin Love 's 9-foot jumper	97 - 113	
7:26		Kevin Durant defensive rebound	97 - 113	
7:16		Kevin Durant makes 6-foot two point shot	97 - 115	
7:16		Cavaliers Full timeout	97 - 115	
7:16		Iman Shumpert enters the game for Kyle Korver	97 - 115	
7:05		Tristan Thompson makes 10-foot Driving Floating Jump Shot (LeBron James assists)	99 - 115	
6:43		Kevin Durant makes 25-foot three pointer	99 - 118	
6:28		Kyrie Irving misses 25-foot three point jumper	99 - 118	
6:28		Stephen Curry defensive rebound	99 - 118	
6:20		Stephen Curry makes 26-foot three point running jumper	99 - 121	
5:58		Kyrie Irving makes 19-foot two point shot (Tristan Thompson assists)	101 - 121	
5:43		Stephen Curry misses 18-foot jumper	101 - 121	
5:43		LeBron James defensive rebound	101 - 121	
5:35		Kevin Love makes 25-foot three point running jumper (LeBron James assists)	104 - 121	
5:35		Warriors Full timeout	104 - 121	
5:35		Draymond Green enters the game for David West	104 - 121	
5:35		Richard Jefferson enters the game for Iman Shumpert	104 - 121	
5:20		Stephen Curry bad pass (LeBron James steals)	104 - 121	
5:13		Tristan Thompson misses jumper	104 - 121	
5:11		Draymond Green defensive rebound	104 - 121	
5:00		Andre Iguodala makes dunk (Stephen Curry assists)	104 - 123	
4:41		Stephen Curry shooting foul (Richard Jefferson draws the foul)	104 - 123	
4:41		Richard Jefferson misses free throw 1 of 2	104 - 123	
4:41		Cavaliers offensive team rebound	104 - 123	
4:41		Richard Jefferson misses free throw 2 of 2	104 - 123	
4:41		Kevin Durant defensive rebound	104 - 123	
4:26		Kevin Durant makes dunk (Draymond Green assists)	104 - 125	
4:11		Tristan Thompson makes driving layup (Kyrie Irving assists)	106 - 125	
3:57		Kevin Durant misses 27-foot three point jumper	106 - 125	
3:57		Kyrie Irving defensive rebound	106 - 125	
3:49		Kyrie Irving misses 17-foot two point jumper	106 - 125	
3:49		Draymond Green defensive rebound	106 - 125	
